-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.113.0.2, port 45877
[  6] local 10.113.0.1 port 9002 connected to 10.113.0.2 port 41236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec   988 KBytes  8.10 Mbits/sec  0.203 ms  671/1370 (49%)  
[  6]   1.00-2.00   sec  1.17 MBytes  9.81 Mbits/sec  0.142 ms  536/1383 (39%)  
[  6]   2.00-3.00   sec  1.17 MBytes  9.77 Mbits/sec  0.366 ms  532/1377 (39%)  
[  6]   3.00-4.00   sec  1.17 MBytes  9.85 Mbits/sec  0.153 ms  537/1386 (39%)  
[  6]   4.00-5.00   sec  1.17 MBytes  9.79 Mbits/sec  0.205 ms  534/1380 (39%)  
[  6]   5.00-6.00   sec  1.17 MBytes  9.82 Mbits/sec  0.146 ms  534/1381 (39%)  
[  6]   6.00-7.00   sec  1.17 MBytes  9.82 Mbits/sec  0.199 ms  534/1382 (39%)  
[  6]   7.00-8.00   sec   916 KBytes  7.51 Mbits/sec  0.152 ms  731/1379 (53%)  
[  6]   8.00-9.00   sec   850 KBytes  6.96 Mbits/sec  0.190 ms  460/1061 (43%)  
[  6]   9.00-10.00  sec   956 KBytes  7.82 Mbits/sec  0.788 ms  881/1557 (57%)  
[  6]  10.00-11.00  sec   402 KBytes  3.29 Mbits/sec  0.144 ms  377/661 (57%)  
[  6]  11.00-12.00  sec  1.06 MBytes  8.87 Mbits/sec  0.215 ms  1225/1989 (62%)  
[  6]  12.00-13.00  sec   177 KBytes  1.44 Mbits/sec  0.150 ms  336/461 (73%)  
[  6]  13.00-14.00  sec   502 KBytes  4.12 Mbits/sec  0.176 ms  231/586 (39%)  
[  6]  14.00-15.00  sec  1.17 MBytes  9.82 Mbits/sec  0.464 ms  1906/2754 (69%)  
[  6]  15.00-16.00  sec   701 KBytes  5.75 Mbits/sec  0.236 ms  914/1410 (65%)  
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  0.236 ms  0/0 (0%)  
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  0.236 ms  0/0 (0%)  
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  0.236 ms  0/0 (0%)  
[  6]  19.00-20.00  sec   451 KBytes  3.70 Mbits/sec  0.483 ms  95/414 (23%)  
[  6]  20.00-21.00  sec  1.17 MBytes  9.82 Mbits/sec  0.224 ms  1285/2133 (60%)  
[  6]  21.00-22.00  sec  1.17 MBytes  9.80 Mbits/sec  0.134 ms  1652/2499 (66%)  
[  6]  22.00-23.00  sec  1.17 MBytes  9.83 Mbits/sec  0.187 ms  1888/2735 (69%)  
[  6]  23.00-24.00  sec  1.17 MBytes  9.80 Mbits/sec  0.167 ms  2264/3110 (73%)  
[  6]  24.00-25.00  sec   964 KBytes  7.90 Mbits/sec  0.548 ms  1389/2071 (67%)  
[  6]  25.00-26.00  sec   604 KBytes  4.95 Mbits/sec  0.610 ms  261/688 (38%)  
[  6]  26.00-27.00  sec   721 KBytes  5.90 Mbits/sec  0.299 ms  1023/1533 (67%)  
[  6]  27.00-28.00  sec   669 KBytes  5.49 Mbits/sec  0.193 ms  764/1237 (62%)  
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec  0.193 ms  0/0 (0%)  
[  6]  29.00-30.00  sec  1000 KBytes  8.20 Mbits/sec  0.506 ms  1050/1757 (60%)  
[  6]  30.00-31.00  sec  1.07 MBytes  8.97 Mbits/sec  0.189 ms  1054/1828 (58%)  
[  6]  31.00-32.00  sec  1.11 MBytes  9.31 Mbits/sec  0.186 ms  1792/2596 (69%)  
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  0.186 ms  0/0 (0%)  
[  6]  33.00-34.00  sec   406 KBytes  3.33 Mbits/sec  0.540 ms  76/363 (21%)  
[  6]  34.00-35.00  sec  1.17 MBytes  9.84 Mbits/sec  0.548 ms  1452/2302 (63%)  
[  6]  35.00-36.00  sec  1.17 MBytes  9.81 Mbits/sec  0.190 ms  1930/2777 (69%)  
[  6]  36.00-37.00  sec   199 KBytes  1.63 Mbits/sec  0.745 ms  223/364 (61%)  
[  6]  37.00-38.00  sec  1.14 MBytes  9.61 Mbits/sec  0.162 ms  1724/2553 (68%)  
[  6]  38.00-39.00  sec   738 KBytes  6.05 Mbits/sec  0.225 ms  283/805 (35%)  
[  6]  39.00-40.00  sec   738 KBytes  6.05 Mbits/sec  0.162 ms  831/1353 (61%)  
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec  0.162 ms  0/0 (0%)  
[  6]  41.00-42.00  sec  1.00 MBytes  8.41 Mbits/sec  0.164 ms  913/1638 (56%)  
[  6]  42.00-43.00  sec  1.17 MBytes  9.81 Mbits/sec  0.168 ms  1909/2756 (69%)  
[  6]  43.00-44.00  sec   634 KBytes  5.19 Mbits/sec  0.348 ms  638/1086 (59%)  
[  6]  44.00-45.00  sec  1.05 MBytes  8.82 Mbits/sec  0.738 ms  1169/1930 (61%)  
[  6]  45.00-46.00  sec   745 KBytes  6.11 Mbits/sec  0.099 ms  759/1286 (59%)  
[  6]  46.00-47.00  sec   795 KBytes  6.51 Mbits/sec  0.133 ms  982/1544 (64%)  
[  6]  47.00-48.00  sec  24.0 KBytes   197 Kbits/sec  0.187 ms  42/59 (71%)  
